pl_name,hostname,pl_rade,ra
Kepler-1972 b,Kepler-1972,0.802,288.3953074
Kepler-1979 b,Kepler-1979,29.33,289.8429062
Kepler-198 d,Kepler-198,1.53,290.6731326
Kepler-1983 b,Kepler-1983,2.33,297.042015
Kepler-1987 e,Kepler-1987,1.92,295.8254663
Kepler-1993 b,Kepler-1993,4.15,293.7968548
Kepler-1996 b,Kepler-1996,2.26,285.2537555
Kepler-20 g,Kepler-20,4.71,287.6979913
Kepler-200 b,Kepler-200,2.13,284.4099503
Kepler-200 c,Kepler-200,1.59,284.4099503
Kepler-2000 c,Kepler-2000,1.57,285.5743032
Kepler-204 c,Kepler-204,1.79,285.347162
Kepler-208 e,Kepler-208,1.48,293.8901979
Kepler-21 b,Kepler-21,1.639,287.3619673
Kepler-211 b,Kepler-211,1.26,285.4391183
Kepler-217 b,Kepler-217,2.23,293.0377331
Kepler-218 b,Kepler-218,1.48,295.4128785
Kepler-218 d,Kepler-218,2.66,295.4128785
Kepler-219 b,Kepler-219,2.95,288.7389481
Kepler-219 d,Kepler-219,2.81,288.7389481
Kepler-222 c,Kepler-222,4.64,287.9060885
Kepler-222 d,Kepler-222,3.69,287.9060885
Kepler-229 b,Kepler-229,2.2,286.9994758
Kepler-23 b,Kepler-23,1.638,294.2189131
Kepler-232 c,Kepler-232,3.83,295.8161668
Kepler-233 b,Kepler-233,2.43,296.3665054
Kepler-233 c,Kepler-233,2.71,296.3665054
Kepler-235 b,Kepler-235,2.23,286.0790779
Kepler-24 d,Kepler-24,1.67,290.4132621
Kepler-240 b,Kepler-240,1.37,291.1587635
Kepler-241 b,Kepler-241,2.33,292.9131121
Kepler-242 c,Kepler-242,2.0,286.5656932
Kepler-243 b,Kepler-243,2.45,285.1104819
Kepler-244 b,Kepler-244,2.76,287.242641
Kepler-244 d,Kepler-244,2.31,287.242641
Kepler-247 b,Kepler-247,1.64,288.6425609
Kepler-25 c,Kepler-25,5.217,286.6383905
Kepler-254 b,Kepler-254,3.87,288.1646541
Kepler-255 d,Kepler-255,1.32,296.0642702
Kepler-256 d,Kepler-256,2.48,292.58042
Kepler-260 c,Kepler-260,1.74,291.9259658
Kepler-261 c,Kepler-261,2.0,291.3647333
Kepler-267 b,Kepler-267,1.98,299.8305655
Kepler-275 c,Kepler-275,3.38,292.4797004
Kepler-276 c,Kepler-276,2.9,293.568197
Kepler-28 c,Kepler-28,1.857,292.1370409
Kepler-287 b,Kepler-287,2.33,290.9274282
Kepler-289 c,Kepler-289,11.23,297.4653351
Kepler-289 e,Kepler-289,2.94,297.4653351
Kepler-29 b,Kepler-29,2.55,298.348382
Kepler-292 d,Kepler-292,2.23,295.7661979
Kepler-292 e,Kepler-292,2.67,295.7661979
Kepler-296 f,Kepler-296,1.8,286.5400278
Kepler-299 d,Kepler-299,1.86,283.2070156
Kepler-300 b,Kepler-300,1.67,295.2886934
Kepler-301 c,Kepler-301,1.35,283.982904
Kepler-302 c,Kepler-302,12.45,294.3169307
Kepler-309 b,Kepler-309,1.56,297.5098911
Kepler-31 b,Kepler-31,5.5,294.0230229
Kepler-31 d,Kepler-31,3.9,294.0230229
Kepler-312 c,Kepler-312,3.15,298.3957687
Kepler-314 c,Kepler-314,2.9,294.6741507
Kepler-316 c,Kepler-316,1.16,290.825835
Kepler-32 e,Kepler-32,1.5,297.8423073
Kepler-323 c,Kepler-323,1.57,291.3822988
Kepler-324 c,Kepler-324,3.15,286.4714473
Kepler-327 d,Kepler-327,1.73,292.6422963
Kepler-329 b,Kepler-329,1.4,299.2681646
Kepler-334 c,Kepler-334,1.43,287.1406177
Kepler-335 b,Kepler-335,3.39,296.0642944
Kepler-337 b,Kepler-337,1.54,290.0605123
Kepler-347 b,Kepler-347,1.97,289.1995995
Kepler-349 c,Kepler-349,1.96,293.6764689
Kepler-350 d,Kepler-350,2.8,285.4195845
Kepler-357 d,Kepler-357,3.43,291.2429746
Kepler-366 c,Kepler-366,1.79,296.8520316
